application_id,tin,as_of_date,application_channel,application_period_start,application_period_end,segment
WHTEX-2024-01-183537,5246123566,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-12-282327,1966626606,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-12-635660,1892412735,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-08-147711,5149894871,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-12-470474,3858896987,2025-12-01,BACKOFFICE,2025-07-01,2026-06-30,SMALL
WHTEX-2025-02-961719,3676707631,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-09-263571,7657930239,2024-09-01,BACKOFFICE,2024-07-01,2025-06-30,LARGE
WHTEX-2025-08-490848,6040517286,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-08-819322,9396820239,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-06-962237,5805150694,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-01-550630,3799574515,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-06-175687,8914705601,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-12-760093,4169084265,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-09-946968,5473232615,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-01-753620,4445048465,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-01-495039,4362919559,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-09-230363,6780271767,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-08-142564,3612783310,2024-08-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2025-10-447894,5045790170,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-04-967811,1014946369,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-04-265626,3015510990,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2024-08-686692,7188985442,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-07-208871,6831670383,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-12-661142,5675946382,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-06-330839,2730706111,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-12-581501,8584587719,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-07-162678,4832938777,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-09-357770,8979810023,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-09-756237,2633707972,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-01-744239,7568337216,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-09-273871,1568054536,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,LARGE
WHTEX-2024-05-484667,8018828594,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-12-909246,2300717699,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
